"timestamp","ntnx-ahv01","ntnx-ahv02","ntnx-ahv03"
"2024/05/25 17:43:30","138010","178097","145417"
"2024/05/25 17:44:00","233964","234258","223631"
"2024/05/25 17:44:30","174889","194834","171232"
"2024/05/25 17:45:00","232602","309570","239560"
"2024/05/25 17:45:30","193554","184041","156985"
"2024/05/25 17:46:00","218419","231976","275361"
"2024/05/25 17:46:30","186488","176225","151450"
"2024/05/25 17:47:00","220549","234043","217486"
"2024/05/25 17:47:30","147298","181561","158589"
"2024/05/25 17:48:00","219549","289015","226399"
"2024/05/25 17:48:30","204126","201515","169302"
"2024/05/25 17:49:00","200304","225366","207464"
"2024/05/25 17:49:30","159654","151894","151096"
"2024/05/25 17:50:00","224142","336219","238590"
"2024/05/25 17:50:30","247749","179879","148815"
"2024/05/25 17:51:00","252721","273573","363405"
"2024/05/25 17:51:30","140490","150687","152972"
"2024/05/25 17:52:00","228532","268851","227836"
"2024/05/25 17:52:30","218048","202409","233654"
"2024/05/25 17:53:00","216628","270856","223983"
"2024/05/25 17:53:30","137635","148398","153564"
"2024/05/25 17:54:00","216430","259217","234636"
"2024/05/25 17:54:30","195445","174014","159938"
"2024/05/25 17:55:00","-1","-1","-1"
"2024/05/25 17:55:30","-1","-1","-1"
"2024/05/25 17:56:00","429455","-1","447847"
"2024/05/25 17:56:30","-1","-1","488063"
"2024/05/25 17:57:00","443973","0","275817"
"2024/05/25 17:57:30","204795","163677","159032"
"2024/05/25 17:58:00","221956","265412","254377"
"2024/05/25 17:58:30","165199","188256","149529"
"2024/05/25 17:59:00","245477","221281","205976"
"2024/05/25 17:59:30","163731","134843","126753"
"2024/05/25 18:00:00","296763","348223","346323"
"2024/05/25 18:00:30","191653","210286","160761"
"2024/05/25 18:01:00","322735","246328","276811"
"2024/05/25 18:01:30","179396","158426","154109"
"2024/05/25 18:02:00","223381","238951","224470"
"2024/05/25 18:02:30","207460","191196","202016"
"2024/05/25 18:03:00","316742","302607","242232"
"2024/05/25 18:03:30","227427","230574","214576"
"2024/05/25 18:04:00","201853","230709","218827"
"2024/05/25 18:04:30","183963","183902","206352"
"2024/05/25 18:05:00","271981","338144","231487"
"2024/05/25 18:05:30","155096","158906","131159"
"2024/05/25 18:06:00","269780","240650","273814"
"2024/05/25 18:06:30","190328","164617","212795"
"2024/05/25 18:07:00","299965","271784","244242"
"2024/05/25 18:07:30","212913","133807","134937"
"2024/05/25 18:08:00","219831","271155","228482"
"2024/05/25 18:08:30","184823","175389","207177"
"2024/05/25 18:09:00","203298","253888","208172"
"2024/05/25 18:09:30","195042","121370","124379"
"2024/05/25 18:10:00","239335","295439","230437"
"2024/05/25 18:10:30","168345","155260","189832"
"2024/05/25 18:11:00","259501","260103","262587"
"2024/05/25 18:11:30","189291","128562","140324"
"2024/05/25 18:12:00","232841","250917","226603"
"2024/05/25 18:12:30","198288","178215","214182"
"2024/05/25 18:13:00","196280","302953","247235"
"2024/05/25 18:13:30","202650","135864","124463"
"2024/05/25 18:14:00","220472","224665","221103"
"2024/05/25 18:14:30","178539","211095","180684"
"2024/05/25 18:15:00","264213","341697","268823"
"2024/05/25 18:15:30","206425","218427","136305"
"2024/05/25 18:16:00","265043","225291","268015"
"2024/05/25 18:16:30","194641","178517","198815"
"2024/05/25 18:17:00","233198","247682","244229"
"2024/05/25 18:17:30","202214","159475","131471"
"2024/05/25 18:18:00","212432","264208","209507"
"2024/05/25 18:18:30","182275","161736","155858"
"2024/05/25 18:19:00","209820","217423","239847"
"2024/05/25 18:19:30","203689","154005","124251"
"2024/05/25 18:20:00","244430","292829","233539"
"2024/05/25 18:20:30","207866","203785","205513"
"2024/05/25 18:21:00","268480","220484","304552"
"2024/05/25 18:21:30","167506","162644","137376"
"2024/05/25 18:22:00","261095","239497","222500"
"2024/05/25 18:22:30","184485","156248","153328"
"2024/05/25 18:23:00","216429","242130","241164"
"2024/05/25 18:23:30","150666","163435","124180"
"2024/05/25 18:24:00","245309","214681","220068"
"2024/05/25 18:24:30","182709","172212","170468"
"2024/05/25 18:25:00","239818","293775","271515"
"2024/05/25 18:25:30","158368","166112","130174"
"2024/05/25 18:26:00","308766","218008","265223"
"2024/05/25 18:26:30","192519","162166","163417"
"2024/05/25 18:27:00","236900","240706","257882"
"2024/05/25 18:27:30","172375","168630","129734"
"2024/05/25 18:28:00","257785","254658","215910"
"2024/05/25 18:28:30","185827","184994","173237"
"2024/05/25 18:29:00","209863","219472","226035"
"2024/05/25 18:29:30","164729","135081","133762"
"2024/05/25 18:30:00","277412","330748","236941"
"2024/05/25 18:30:30","169752","157320","150856"
"2024/05/25 18:31:00","269967","215510","262438"
"2024/05/25 18:31:30","159305","134970","170320"
"2024/05/25 18:32:00","271388","259706","224238"
"2024/05/25 18:32:30","199256","190253","176607"
"2024/05/25 18:33:00","216597","229204","208165"
"2024/05/25 18:33:30","182426","144111","154014"
"2024/05/25 18:34:00","295016","303972","283703"
"2024/05/25 18:34:30","242905","155237","148850"
"2024/05/25 18:35:00","265561","294959","286577"
"2024/05/25 18:35:30","171681","169392","182011"
"2024/05/25 18:36:00","279940","253064","276384"
"2024/05/25 18:36:30","233133","186928","189343"
"2024/05/25 18:37:00","221743","226676","215905"
"2024/05/25 18:37:30","187661","148874","171596"
"2024/05/25 18:38:00","218122","295751","210734"
"2024/05/25 18:38:30","202229","166140","147650"
"2024/05/25 18:39:00","204892","211697","223357"
"2024/05/25 18:39:30","165855","130409","154283"
"2024/05/25 18:40:00","239179","325899","244467"
"2024/05/25 18:40:30","217792","189530","179914"
"2024/05/25 18:41:00","266066","215770","261179"
"2024/05/25 18:41:30","179408","156175","172167"
"2024/05/25 18:42:00","227429","252356","216320"
"2024/05/25 18:42:30","228222","185018","168152"
"2024/05/25 18:43:00","212737","241842","222190"
"2024/05/25 18:43:30","156576","138491","157490"
"2024/05/25 18:44:00","206053","211095","218441"
"2024/05/25 18:44:30","215071","212968","170445"
"2024/05/25 18:45:00","235073","296670","230877"
